130	h5nc	5A								
Comment	Index	Type	Life	ATK_00	ATK_01	ATK_02	ATK_03	DEF_L	DEF_B	DEF_S
-	0	0	1200	0	1200	1500	1800	200	200	200
-	1	1	1200	0	1800	2300	2800	500	750	350
-	2	2	1200	0	1500	1500	1500	750	350	500
-	3	3	1200	0	2300	1900	1500	350	500	750
-	4	4	1200	0	2500	2500	2500	100	100	100
-	5	5	1200	0	1000	1000	1000	5000	0	5000
-	6	6	1200	0	1200	1200	1200	0	5000	5000
-	7	7	1200	0	1000	1750	2500	5000	5000	0
-	8	8	1200	800	800	800	800	150	150	150
-	9	9	1200	0	2000	2300	2600	800	800	800
