130	h5nc	5B								
Comment	Index	MissionType	Place	BGSIID	WeatherFlag	Sp	Rank01_Score	Rank02_Score	Rank03_Score	AimHelpIndex
#		World01								
-	0	10	0	SI_Null	0	0	0	0	0	0
-	1	21	1	SI_MissionBG_Pen	0	1	1000	2000	3000	1
-	2	21	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	3	21	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	4	21	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	5	21	5	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	6	21	6	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	7	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	8	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	9	21	7	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	10	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	11	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	12	21	8	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	13	21	9	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	14	21	10	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	15	21	10	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	16	31	11	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World01(Free)								
-	17	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	18	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	19	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	20	41	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	21	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	22	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	23	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	24	41	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	25	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	26	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	27	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	28	41	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	29	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	30	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	31	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	32	41	4	SI_MissionBG_Pen	0	0	1000	2000	3000	0
#		World01(GoldenEgg)								
-	33	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	34	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	35	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	36	51	1	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	37	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	38	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	39	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	40	51	2	SI_MissionBG_Pen	0	0	1000	2000	3000	0
-	41	51	3	SI_MissionBG_Pen	0	0	1000	2000	3000	0
