130	h5nc	5C						
Comment	Stage	Mission	Turn	EnemyType	X	Y	Elayer/Angle	Flag
#		World_00						
#		Mission_01						
-	0	1	0	2	356	155	1	0
-	0	1	0	4	490	399	2	0
-	0	1	0	9	133	375	3	0
-	0	1	0	8	134	295	3	0
-	0	1	0	2	341	150	1	0
-	0	1	1	0	15	316	4716	0
-	0	1	2	2	350	22	19185	0
-	0	1	2	1	9	338	12738	0
#		Mission_02						
-	0	2	0	8	402	461	1	0
-	0	2	0	8	741	490	1	0
-	0	2	0	2	300	444	3	0
-	0	2	0	6	585	412	2	0
-	0	2	1	3	900	283	-9224	0
#		Mission_03						
-	0	3	0	9	371	126	1	0
-	0	3	0	9	661	407	3	0
-	0	3	0	1	161	321	2	0
-	0	3	0	7	499	150	3	0
-	0	3	1	7	919	240	-8512	0
-	0	3	1	8	935	247	-4948	0
-	0	3	1	3	331	48	21784	0
-	0	3	2	4	929	213	-7929	0
-	0	3	2	2	15	214	6898	0
-	0	3	3	9	514	14	14272	0
-	0	3	3	2	60	323	6422	0
-	0	3	4	0	917	282	-8204	0
-	0	3	4	0	900	261	-10641	0
-	0	3	4	7	427	46	17695	0
#		Mission_04						
-	0	4	0	3	652	407	1	0
-	0	4	0	8	110	400	1	0
-	0	4	0	6	825	289	3	0
-	0	4	0	2	325	201	2	0
-	0	4	0	9	311	502	3	0
-	0	4	1	4	28	269	5392	0
-	0	4	1	2	925	213	-11182	0
-	0	4	2	1	905	302	-10790	0
-	0	4	2	3	924	303	-12423	0
-	0	4	2	1	704	59	13927	0
-	0	4	3	4	914	294	-7082	0
-	0	4	3	8	734	41	16814	0
-	0	4	4	5	950	201	-8169	0
-	0	4	4	4	56	324	11258	0
#		Mission_05						
-	0	5	0	3	183	411	2	0
-	0	5	0	8	363	322	2	0
-	0	5	0	7	253	290	3	0
-	0	5	1	1	30	242	11033	0
-	0	5	1	6	39	222	10412	0
-	0	5	2	1	27	234	11898	0
-	0	5	3	6	564	46	19155	0
-	0	5	4	6	458	27	16598	0
#		Mission_06						
-	0	6	0	4	153	351	2	0
-	0	6	0	0	571	397	1	0
-	0	6	0	9	559	474	1	0
-	0	6	1	4	51	263	8267	0
-	0	6	1	0	21	216	12050	0
-	0	6	2	1	930	288	-9538	0
-	0	6	2	7	10	258	9911	0
#		Mission_07						
-	0	7	0	7	734	242	1	0
-	0	7	0	4	618	182	2	0
-	0	7	0	1	325	303	1	0
-	0	7	1	7	501	46	17919	0
-	0	7	1	9	917	230	-9152	0
-	0	7	1	1	920	239	-10875	0
#		Mission_08						
-	0	8	0	7	806	363	1	0
-	0	8	0	4	822	102	1	0
-	0	8	0	8	859	361	3	0
-	0	8	0	8	437	318	2	0
-	0	8	0	7	686	353	3	0
-	0	8	1	7	348	58	18575	0
-	0	8	1	8	911	332	-12842	0
-	0	8	2	8	51	332	6319	0
-	0	8	3	9	38	223	8582	0
#		Mission_09						
-	0	9	0	7	795	277	2	0
-	0	9	0	1	305	413	1	0
-	0	9	1	7	428	28	16904	0
-	0	9	1	9	929	270	-11316	0
-	0	9	2	7	55	309	6553	0
-	0	9	2	5	422	56	19649	0
-	0	9	2	0	942	303	-12553	0
-	0	9	3	6	39	282	4717	0
-	0	9	3	3	603	49	14016	0
-	0	9	3	4	946	221	-9858	0
#		Mission_10						
-	0	10	0	9	852	409	1	0
-	0	10	0	6	819	510	2	0
-	0	10	0	3	119	195	1	0
-	0	10	0	6	184	301	2	0
-	0	10	0	7	212	400	3	0
-	0	10	1	9	12	240	12184	0
-	0	10	2	7	379	46	16917	0
-	0	10	2	4	53	205	7534	0
-	0	10	2	5	726	12	17814	0
-	0	10	3	7	668	27	15481	0
-	0	10	3	9	48	244	12447	0
#		Mission_11						
-	0	11	0	1	108	252	3	0
-	0	11	0	0	614	496	1	0
-	0	11	1	1	429	57	17741	0
-	0	11	2	8	902	292	-5923	0
-	0	11	2	4	686	23	17897	0
-	0	11	2	9	927	334	-7288	0
#		Mission_12						
-	0	12	0	8	392	429	3	0
-	0	12	0	8	217	280	3	0
-	0	12	0	7	731	473	3	0
-	0	12	0	8	286	317	1	0
-	0	12	1	1	49	276	8154	0
-	0	12	2	2	913	217	-13074	0
-	0	12	2	5	10	303	10719	0
#		Mission_13						
-	0	13	0	0	375	296	3	0
-	0	13	0	6	653	491	3	0
-	0	13	0	2	704	493	2	0
-	0	13	0	0	310	446	2	0
-	0	13	1	4	616	8	21699	0
-	0	13	1	9	566	58	20146	0
-	0	13	1	7	947	288	-9872	0
-	0	13	2	9	376	27	16642	0
-	0	13	2	1	571	58	22077	0
-	0	13	2	7	338	50	21692	0
#		Mission_14						
-	0	14	0	9	244	530	2	0
-	0	14	0	4	820	285	1	0
-	0	14	0	3	214	213	1	0
-	0	14	1	5	931	248	-9749	0
-	0	14	2	5	659	53	15259	0
-	0	14	2	3	295	31	18541	0
-	0	14	2	4	925	302	-9381	0
-	0	14	3	1	912	271	-13387	0
-	0	14	3	0	530	53	21968	0
-	0	14	3	0	50	324	5486	0
#		Mission_15						
-	0	15	0	6	132	399	2	0
-	0	15	0	6	754	417	3	0
-	0	15	1	0	905	285	-12169	0
-	0	15	1	6	956	205	-12010	0
-	0	15	2	1	760	15	20412	0
-	0	15	2	5	918	305	-11225	0
-	0	15	3	6	9	240	10768	0
-	0	15	3	8	36	219	13120	0
#		Mission_16						
-	0	16	0	9	464	359	3	0
-	0	16	0	6	410	467	3	0
-	0	16	1	3	371	19	21233	0
-	0	16	1	1	941	299	-5196	0
-	0	16	1	6	18	326	11304	0
-	0	16	2	1	220	53	22229	0
-	0	16	3	9	344	38	15330	0
-	0	16	3	3	926	214	-9965	0
-	0	16	4	5	36	340	8722	0
-	0	16	4	6	15	276	10609	0
-	0	16	4	3	937	314	-9561	0
#		Mission_17						
-	0	17	0	8	298	421	2	0
-	0	17	0	6	322	479	2	0
-	0	17	0	2	838	212	3	0
-	0	17	0	4	321	536	3	0
-	0	17	1	9	45	289	9893	0
-	0	17	1	1	36	227	9298	0
#		Mission_18						
-	0	18	0	1	810	457	3	0
